Ticker Symbol,Company Legal Name,Business Description
CBB,Cincinnati Bell Inc,"Cincinnati Bell Inc., together with its subsidiaries, provides diversified telecommunications and technology services to residential and business customers in the United States."
GHM,Graham Corp,"Graham Corporation, together with its subsidiaries, designs, manufactures, and sells vacuum and heat transfer equipment for the chemical, defense, petrochemical, petroleum refining, electric power generation, and other industries worldwide."
PWOD,Penns Woods Bancorp Inc,"Penns Woods Bancorp, Inc. operates as the bank holding company for Jersey Shore State Bank and Luzerne Bank, which provides banking and financial services to individuals, partnerships, non-profit organizations, and corporations."
RGS,Regis Corp,"Regis Corporation owns, operates, and franchises hairstyling and hair care salons. The company operates through four segments: North American Value, North American Franchise, North American Premium, and International."
MUR,Murphy Oil Corp,"Murphy Oil Corporation operates as an oil and gas exploration and production company worldwide. It explores for and produces crude oil, natural gas, and natural gas liquids. The company was formerly known as Murphy Corporation and changed its n"
AROW,Arrow Financial Corp,"Arrow Financial Corporation operates as the bank holding company for Glens Falls National Bank and Trust Company, and Saratoga National Bank and Trust Company that provide commercial and consumer banking, and financial products and services."
HXL,Hexcel Corp,"Hexcel Corporation, together with its subsidiaries, develops, manufactures, and markets structural materials for use in commercial aerospace, space and defense, and industrial markets. The company operates through two segments, Composite Materi"
VALU,Value Line Inc,"Value Line, Inc., together with its subsidiaries, produces and sells investment periodicals and related publications primarily in the United States."
FUSB,First US Bancshares Inc,"First US Bancshares, Inc. operates as the bank holding company for the First US Bank that provides commercial banking products and services to small- and medium-sized businesses, property managers, business executives, professionals, and other"
UNF,UniFirst Corp,"UniFirst Corporation provides workplace uniforms and protective work wear clothing in the United States, Canada, and Europe. It operates through US Rental and Cleaning, Canadian Rental and Cleaning, Manufacturing, Specialty Garments Rental and"
RAVE,Rave Restaurant Group Inc,"Rave Restaurant Group, Inc., together with its subsidiaries, operates and franchises pizza buffet, delivery/carry-out (delco), and express restaurants under the Pizza Inn trademark. It operates in two segments, Franchising and Food and Supply D"
ATVI,Activision Blizzard Inc,"Activision Blizzard, Inc. develops and publishes games for video game consoles, personal computers (PC), mobile devices, and online social platforms. The company operates through three segments: Activision Publishing, Inc., Blizzard Entertainme"
SPAN,Span-America Medical Systems Inc,"Span-America Medical Systems, Inc. manufactures and distributes therapeutic support surfaces and other related products for the medical, consumer, and industrial markets in the United States and Canada. It operates through two segments, Medical"
STAA,STAAR Surgical Company,"STAAR Surgical Company, together with its subsidiaries, designs, develops, manufactures, and sells implantable lenses for the eye, and delivery systems to deliver the lenses into the eye."
BVX,Bovie Medical Corp,"Bovie Medical Corporation, a medical device company, develops, manufactures, and markets electrosurgical devices and technologies, and related medical products used in doctor's offices, surgery centers, and hospitals worldwide."
ISRL,Isramco Inc,"Isramco, Inc., an independent oil and natural gas company, engages in the exploration, development, and production of oil and natural gas properties located onshore in the United States and offshore Israel."
STBA,S&T Bancorp Inc,"S&T Bancorp, Inc. operates as the bank holding company for S&T Bank that provides a range of financial services. It operates through three segments: Community Banking, Wealth Management, and Insurance."
GIGA,Giga-Tronics Inc,"Giga-tronics Inc, together with its subsidiaries, designs, manufactures, and markets a range of test and measurement equipment."
HL,Hecla Mining Co,"Hecla Mining Company, together with its subsidiaries, discovers, acquires, develops, produces, and markets precious and base metal deposits worldwide."
KTCC,Key Tronic Corp,"Key Tronic Corporation, doing business as KeyTronicEMS Co., provides electronic manufacturing services (EMS) and solutions to original equipment manufacturers in the United States and internationally."
SIVB,SVB Financial Group,"SVB Financial Group, a diversified financial services company, provides various banking and financial products and services."
ACAT,Arctic Cat Inc.,"Arctic Cat Inc. designs, engineers, manufactures, and markets snowmobiles and all-terrain vehicles (ATVs), and recreational off-highway vehicles under the Arctic Cat and MotorFist brand names. The company also provides related parts, garments,"
WSM,Williams-Sonoma Inc.,"Williams-Sonoma, Inc. operates as a multi-channel specialty retailer of various products for home. It operates through two segments, E-commerce and Retail."
MSFG,MainSource Financial Group Inc,"MainSource Financial Group, Inc. operates as the bank holding company for MainSource Bank that provides a range of financial services in the United States. The company accepts deposit products, including checking, savings, term certificate acco"
RJF,Raymond James Financial Inc.,"Raymond James Financial  Inc., a financial holding company, through its subsidiaries engages in the underwriting, distribution, trading & brokerage of equity & debt securities & the sale of mutual funds & other investment products in the United"
BASI,Bioanalytical Systems Inc,"Bioanalytical Systems, Inc. provides drug discovery and development services, and analytical instruments for pharmaceutical, biotechnology, academic, and government organizations in the United States, rest of North America, the Pacific Rim, Eur"
ASYS,Amtech Systems Inc,"Amtech Systems, Inc. manufactures and sells capital equipment and related consumables for use in fabricating solar cells, LED, and semiconductor devices in the United States, Asia, Europe, and internationally. It operates through Solar, Semicon"
SF,Stifel Financial Corp.,"Stifel Financial Corp., a financial services and bank holding company, provides retail and institutional wealth management, and investment banking services to individual investors, corporations, municipalities, and institutions in the United St"
ITIC,Investors Title Co,"Investors Title Company, through its subsidiaries, provides title insurance for residential, institutional, commercial, and industrial properties."
DYNT,Dynatronics Corp,"Dynatronics Corporation designs, manufactures, distributes, and markets physical medicine products in the United States and internationally."
CAH,Cardinal Health Inc,"Cardinal Health, Inc. operates as an integrated healthcare services and products company worldwide."
CAW,CCA Industries Inc.,"CCA Industries, Inc. manufactures and distributes health and beauty aid products in the United States, and internationally."
TSS,Total System Services Inc.,"Total System Services, Inc. provides payment processing, merchant, and related payment services to financial and nonfinancial institutions in the United States, Europe, Canada, Mexico, and internationally."
LKFN,Lakeland Financial Corp,Lakeland Financial Corporation operates as the bank holding company for Lake City Bank that provides various financial services in Indiana.
NSYS,Nortech Systems Inc,Nortech Systems Incorporated operates as an electronic manufacturing services company in the United States and internationally.
IMMU,Immunomedics Inc,"Immunomedics, Inc., a clinical-stage biopharmaceutical company, focuses on the development of monoclonal antibody-based products for the targeted treatment of cancer, autoimmune disorders, and other diseases."
MU,Micron Technology Inc.,"Micron Technology, Inc. provides semiconductor systems worldwide. The company operates through four segments: Compute and Networking Business Unit, Storage Business Unit, Mobile Business Unit, and Embedded Business Unit."
CBU,Community Bank System Inc.,"Community Bank System, Inc. operates as the holding company for Community Bank, N.A. that provides various banking and financial services to retail, commercial, and municipal customers. It operates through three segments: Banking, Employee Bene"
CTAS,Cintas Corp,"Cintas Corporation provides corporate identity uniforms and related business services primarily in North America, Latin America, Europe, and Asia. It operates through Uniform Rental and Facility Services; First Aid and Safety Services; and All"
PAYX,Paychex Inc.,"Paychex, Inc. provides payroll, human resource (HR), retirement, and insurance services for small to medium-sized businesses in the United States and Germany."
CAR,Avis Budget Group Inc,"Avis Budget Group, Inc., together with its subsidiaries, provides car and truck rentals, car sharing, and ancillary services to businesses and consumers worldwide. The company operates through two segments, Americas and International."
MLAB,Mesa Laboratories Inc,"Mesa Laboratories, Inc. designs, manufactures, and markets quality control instruments and disposable products."
FRED,Fred's Inc,"Fred's, Inc., together with its subsidiaries, sells general merchandise through its retail discount stores and full service pharmacies."
PNRA,Panera Bread Co,"Panera Bread Company, together with its subsidiaries, owns, operates, and franchises retail bakery-cafes. The company operates through three segments: Company Bakery-Cafe Operations, Franchise Operations, and Fresh Dough and Other Product Opera"
TPHS,Trinity Place Holdings Inc,"Trinity Place Holdings Inc., a real estate holding, investment, and asset management company, owns, invest in, manages, develops, and/or redevelops real estate assets and/or real estate related securities in the United States."
NVEC,NVE Corp,"NVE Corporation develops and sells devices that use spintronics, a nanotechnology that utilizes electron spin to acquire, store, and transmit information. The company manufactures spintronic products, including sensors and couplers for use in a"
CVM,CEL-SCI Corp,"CEL-SCI Corporation engages in the research and development of drugs and vaccines. Its lead investigational immunotherapy is Multikine, which is under pivotal phase III clinical trial for the treatment of primary head and neck cancer."
ESIO,Electro Scientific Industries Inc,"Electro Scientific Industries, Inc., together with its subsidiaries, supplies laser-based microfabrication solutions for the microtechnology industry worldwide."
MBVT,Merchants Bancshares Inc,"As of May 12, 2017, Merchants Bancshares, Inc. was acquired by Community Bank System, Inc."
CCBG,Capital City Bank Group,"Capital City Bank Group, Inc. operates as the bank holding company for Capital City Bank that provides a range of banking and banking-related services to individual and corporate clients in Florida, Georgia, and Alabama."
CHCO,City Holding Co,"City Holding Company operates as a holding company for City National Bank of West Virginia that provides various banking, trust and investment management, and other financial solutions in the United States."
CASY,Casey's General Stores Inc.,"Casey's General Stores, Inc., together with its subsidiaries, operates convenience stores under the Casey's and Casey's General Store names."
AXDX,Accelerate Diagnostics Inc,"Accelerate Diagnostics, Inc., an in vitro diagnostics company, provides solutions for the diagnosis of serious infections in the United States."
CDZI,Cadiz Inc,"Cadiz Inc. operates as a land and water resource development company in the United States. It engages in the water resource, and land and agricultural development activities in San Bernardino County properties."
ISR,IsoRay Inc,"IsoRay, Inc., through its subsidiary, IsoRay Medical, Inc., develops, manufactures, and sells isotope-based medical products and devices for the treatment of cancer and other malignant diseases in the United States."
JBHT,J.B. Hunt Transport Services Inc.,"J.B. Hunt Transport Services, Inc., together with its subsidiaries, provides surface transportation and delivery services in the continental United States, Canada, and Mexico."
UBSI,United Bankshares Inc,"United Bankshares, Inc. operates as the bank holding company for United Bank (WV) and United Bank (VA) that provide commercial and retail banking services and products primarily in the United States."
CAMP,CalAmp Corp,CalAmp Corp. provides Internet of Things (IoT) enablement solutions for various mobile and fixed applications worldwide.
THO,Thor Industries Inc.,"Thor Industries, Inc., through its subsidiaries, designs, manufactures, and sells recreational vehicles, and related parts and accessories primarily in the United States and Canada. It operates through Towable Recreational Vehicles and Motorize"
RGEN,Repligen Corp,"Repligen Corporation, a bioprocessing company, focuses on the development, production, and commercialization of products used in the production of antibody-based therapeutics, recombinant proteins, and vaccines worldwide."
SBCF,Seacoast Banking Corp of Florida,"Seacoast Banking Corporation of Florida operates as the bank holding company for Seacoast National Bank that provides community banking services to the commercial, small business, and retail customers in Florida."
HCSG,Healthcare Services Group Inc,"Healthcare Services Group, Inc. provides management, administrative, and operating services to the housekeeping, laundry, linen, facility maintenance, and dietary service departments to nursing homes, retirement complexes, rehabilitation center"
UBCP,United Bancorp Inc,"United Bancorp, Inc. operates as the bank holding company for The Citizens Savings Bank that provides commercial and retail banking services in Ohio. The company accepts demand, savings, and time deposits, as well as grants commercial, real est"
UNH,Unitedhealth Group Inc,UnitedHealth Group Incorporated operates as a diversified health and well-being company in the United States.
ATO,Atmos Energy Corp,"Atmos Energy Corporation, together with its subsidiaries, engages in the regulated natural gas distribution, and pipeline and storage businesses in the United States. It operates through Distribution, and Pipeline and Storage segments."
TRT,Trio-Tech International,"Trio-Tech International, together with its subsidiaries, provides manufacturing, testing, and distribution services to the semiconductor industry."
VZ,Verizon Communications Inc,"Verizon Communications Inc., through its subsidiaries, provides communications, information, and entertainment products and services to consumers, businesses, and governmental agencies worldwide."
T,AT&T Inc,"AT&T Inc. provides telecommunications and digital entertainment services. The company operates through four segments: Business Solutions, Entertainment Group, Consumer Mobility, and International."
CLR,Continental Resources Inc,"Continental Resources, Inc. explores for, develops, and produces crude oil and natural gas properties in the north, south, and east regions of the United States."
ACXM,Acxiom Corp,"Acxiom Corporation operates as a technology and enablement services company in the United States, Europe, the Asia-Pacific, and internationally. The company operates through three segments: Connectivity, Audience Solutions, and Marketing Servic"
TCI,Transcontinental Realty Investors Inc.,"Transcontinental Realty Investors (www.transconrealty-invest.com) maintains a strong emphasis on creating greater shareholder value through acquisition, financing, operation, developing and the selective sale of real estate across selective geo"
CCNE,CNB Financial Corp/PA,"CNB Financial Corporation operates as the bank holding company for CNB Bank that provides various banking products and services for individual, business, governmental, and institutional customers."
WASH,Washington Trust Bancorp Inc,"Washington Trust Bancorp, Inc. operates as the bank holding company for The Washington Trust Company that offers various banking and financial products and services to individuals and businesses. The company operates in two segments, Commercial"
TTC,Toro Co (The),"The Toro Company manufactures and markets turf maintenance equipment and services, turf irrigation systems, landscaping equipment and lighting products, snow and ice management products, agricultural micro-irrigation systems, and residential ya"
FLIC,First of Long Island Corp (The),"The First of Long Island Corporation operates as the holding company for The First National Bank of Long Island that provides financial services to privately owned businesses, professionals, consumers, public bodies, and other organizations."
RFIL,RF Industries Ltd,"RF Industries Ltd together with its subsidiaries, designs, manufactures &  markets interconnect products & system to co-location centers, data processing centers, telecommunications & telephone Co, wireless carriers & telecommunication equipmen"
OPOF,Old Point Financial Corp,"Old Point Financial Corporation operates as the bank holding company for The Old Point National Bank of Phoebus that provides consumer, mortgage, and business banking services for individual, retail, and commercial customers."
AMNB,American National Bankshares Inc,"American National Bankshares Inc. operates as the bank holding company for American National Bank and Trust Company that provides financial products and services. The company operates through two segments, Community Banking, and Trust and Inves"
IVC,Invacare Corp,"Invacare Corporation, together with its subsidiaries, designs, manufactures, distributes, and exports medical equipment for use in home health care, retail, and extended care markets worldwide."
ECOL,US Ecology Inc,"US Ecology, Inc., through its subsidiaries, provides environmental services to commercial and government entities in the United States, Canada, and Mexico. It operates in two segments, Environmental Services; and Field & Industrial Services."
RES,RPC Inc.,"RPC, Inc. provides a range of oilfield services and equipment for oil and gas companies involved in the exploration, production, and development of oil and gas properties in the United States, Africa, Canada, Argentina, China, Mexico, Eastern E"
SPAR,Spartan Motors Inc,"Spartan Motors, Inc., through its subsidiaries, engineers, manufactures, and sells heavy-duty and custom vehicles in the United States, Canada, South America, and Asia."
MXIM,Maxim Integrated Products Inc.,"Maxim Integrated Products, Inc. designs, develops, manufactures, and markets a range of linear and mixed-signal integrated circuits in the United States, China, rest of Asia, Europe, and internationally."
BHB,Bar Harbor Bankshares,Bar Harbor Bankshares operates as a bank holding company for Bar Harbor Bank & Trust that provides retail and commercial banking products and services.
XLNX,Xilinx Inc.,"Xilinx, Inc. designs and develops programmable devices and associated technologies worldwide."
REX,Rex American Resources Corp,"REX American Resources Corporation, through its subsidiaries, produces and sells ethanol. The company also offers dried distillers grains, modified distillers grains, and non-food grade corn oil."
CLDX,Celldex Therapeutics Inc,"Celldex Therapeutics, Inc., a biopharmaceutical company, focuses on the development and commercialization of several immunotherapy technologies and other cancer-targeting biologics."
AMS,American Shared Hospital Services,"American Shared Hospital Services, together with its subsidiaries, leases radiosurgery and radiation therapy equipment to health care providers primarily in the United States."
JOE,St. Joe Co (The),"The St. Joe Company, together with its subsidiaries, operates as a real estate development, asset management, and operating company in Florida. The company operates in five segments: Residential Real Estate, Commercial Real Estate, Resorts and"
ROST,Ross Stores Inc,"Ross Stores, Inc., together with its subsidiaries, operates off-price retail apparel and home fashion stores under the Ross Dress for Less and dd's DISCOUNTS brand names in the United States. It primarily offers apparel, accessories, footwear,"
MSL,MidSouth Bancorp Inc.,"MidSouth Bancorp, Inc., a financial holding company, through its subsidiary MidSouth Bank, N.A., provides various community banking products and services to commercial and retail customers in the United States."
EXPD,Expeditors International of Washington Inc.,"Expeditors International of Washington, Inc. provides logistics services."
BRC,Brady Corp,"Brady Corporation manufactures and supplies identification solutions (IDS) and workplace safety (WPS) products to identify and protect premises, products, and people in the United States and internationally."
UIS,Unisys Corp,"Unisys Corporation provides information technology services worldwide. It operates through two segments, Services and Technology. The Services segment provides cloud and infrastructure services, application services, and business process outsou"
NTN,NTN Buzztime Inc,"NTN Buzztime, Inc. provides interactive entertainment and dining technology to bars and restaurants in the United States and Canada."
CCUR,CCUR Holdings Inc,"Concurrent Computer Corporation, a software and solutions company, develops applications focused on storing, protecting, transforming, and delivering media assets in the United States, Canada, Japan, other Asia-Pacific, Europe, and South Americ"
CLSN,Celsion Corp,"Celsion Corporation, an oncology drug company, focuses on the development and commercialization of directed chemotherapy, DNA-mediated immunotherapy, and RNA based therapy products for the treatment of cancer."
ICAD,icad Inc,"iCAD, Inc. provides image analysis, workflow solutions, and radiation therapy for the early identification and treatment of cancer in the United States and internationally. It operates through two segments, Cancer Detection and Cancer Therapy."
SGMS,Scientific Games Corp,"Scientific Games Corporation develops technology-based products and services, and associated content for the gaming, lottery, and interactive gaming industries worldwide."
STI,SunTrust Banks Inc.,"SunTrust Banks, Inc. operates as the holding company for SunTrust Bank that provides various financial services for consumers, businesses, corporations, and institutions in the United States."
AUBN,Auburn National BanCorp Inc,"Auburn National Bancorporation, Inc. operates as the bank holding company for AuburnBank that provides various banking products and services in East Alabama. The company's deposit products include checking, savings, and transaction deposit acco"
HBHC,Hancock Holding Co,"Hancock Holding Company operates as the bank holding company for Whitney Bank that provides a range of community banking services to commercial, small business, and retail customers."
CAC,Camden National Corp,"Camden National Corporation operates as the holding company for Camden National Bank that provides commercial and consumer banking products and services to consumer, institutional, municipal, non-profit, and commercial customers."
VIRC,Virco Mfg. Corp,"Virco Mfg. Corporation engages in the design, production, and distribution of furniture for the commercial and education markets in the United States."
VICR,Vicor Corp.,"Vicor Corporation designs, develops, manufactures, and markets modular components and power systems for converting, regulating, and controlling electric current worldwide. It operates through Brick Business Unit, VI Chip, and Picor segments."
MGRC,McGrath RentCorp,"McGrath RentCorp, a business to business rental company, rents and sells relocatable modular buildings, electronic test equipment, and liquid and solid containment tanks and boxes in the United States and internationally."
NEE,NextEra Energy Inc,"NextEra Energy, Inc., through its subsidiaries, generates, transmits, and distributes electric power to retail and wholesale customers in North America. The company generates electricity through wind, solar, nuclear, and natural gas-fired facil"
EXAR,Exar Corp,"Exar Corporation designs, develops, and markets high performance analog mixed-signal integrated circuits and sub-system solutions for the industrial and embedded systems, high-end consumer, and infrastructure markets worldwide."
SCNB,Suffolk Bancorp,"As of April 1, 2017, Suffolk Bancorp was acquired by People's United Financial, Inc. Suffolk Bancorp operates as the holding company for Suffolk County National Bank, a community bank that provides commercial and retail banking services."
SCG,SCANA Corp,"SCANA Corporation, through its subsidiaries, engages in the generation, transmission, distribution, and sale of electricity to retail and wholesale customers in South Carolina. It owns nuclear, coal, hydro, natural gas, biomass, and solar gener"
GROW,U.S. Global Investors Inc,"U.S. Global Investors, Inc. is a publicly owned investment manager. The firm primarily provides its services to investment companies. It also provides its services to pooled investment vehicles. The firm manages equity and fixed income mutual f"
UTL,Unitil Corp,"Unitil Corporation, a public utility holding company, engages in the distribution of electricity and natural gas in the United States. It operates through three segments: Utility Gas Operations, Utility Electric Operations, and Non-Regulated."
USG,USG Corp,"USG Corporation, through its subsidiaries, manufactures and sells building materials worldwide."
QBAK,Qualstar Corp,"Qualstar Corporation designs, develops, manufactures, and sells power supplies under the N2Power brand; and data storage systems under the Qualstar brand worldwide."
BANF,BancFirst Corp,"BancFirst Corporation operates as the holding company for BancFirst that provides a range of commercial banking services to retail customers, and small to medium-sized businesses. It operates through Metropolitan Banks, Community Banks, and Oth"
LYTS,LSI Industries Inc,"LSI Industries Inc. provides corporate visual image solutions in the United States, Canada, Australia, and Latin America. It operates in three segments: Lighting, Graphics, and Technology."
FUNC,First United Corp,First United Corporation operates as the holding company for First United Bank & Trust that provides various retail and commercial banking services to businesses and individuals.
SSB,South State Corp,"South State Corporation operates as the bank holding company for South State Bank that provides a range of retail and commercial banking services, mortgage lending services, trust and investment services, and consumer finance loans."
CLF,Cleveland-Cliffs Inc,"Cleveland-Cliffs Inc., a mining and natural resources company, produces and supplies iron ore. The company operates four iron ore mines in Michigan and Minnesota; and Koolyanobbing iron ore mining complex located in Western Australia."
MO,Altria Group Inc,"Altria Group, Inc., through its subsidiaries, manufactures and sells cigarettes, smokeless products, and wine in the United States."
IIIN,Insteel Industries Inc,"Insteel Industries, Inc., together with its subsidiaries, manufactures and markets steel wire reinforcing products for concrete construction applications. The company markets prestressed concrete strand (PC strand) and welded wire reinforcement"
BBY,Best Buy Co Inc,"Best Buy Co., Inc. operates as a retailer of technology products, services, and solutions in the United States, Canada, and Mexico. The company operates through two reportable segments, Domestic and International."
CASM,CAS Medical Systems Inc,"CAS Medical Systems, Inc., a non-invasive cerebral oximetry technology company, develops, manufactures, and markets non-invasive patient monitoring products worldwide."
PNW,Pinnacle West Capital Corp,"Pinnacle West Capital Corporation, through its subsidiary, Arizona Public Service Company, provides retail and wholesale electric services primarily in the state of Arizona. It generates, transmits, and distributes electricity using coal, nucle"
FNLC,First Bancorp Inc/ME (The),"The First Bancorp, Inc. operates as the holding company for First National Bank that provides a range of banking products and services to individual and corporate customers in coastal and eastern Maine."
ALK,Alaska Air Group Inc.,"Alaska Air Group, Inc., through its subsidiaries, provides passengers and cargo air transportation services primarily in the United States. The company operates through three segments: Mainline, Regional, and Horizon."
CVV,CVD Equipment Corp,"CVD Equipment Corporation develops, manufactures, and sells equipment and process solutions used to develop and manufacture materials and coatings for research and industrial applications in the United States and internationally."
SJW,SJW Group,"SJW Group, through its subsidiaries, provides water utility services in the United States. It engages in the production, purchase, storage, purification, distribution, wholesale, and retail sale of water."
SBFG,SB Financial Group Inc,"SB Financial Group, Inc., through its subsidiaries, provides banking and wealth management services to individual and corporate customers in northwest Ohio and northeast Indiana."
CYAN,Cyanotech Corp,"Cyanotech Corporation engages in the cultivation, production, and sale of natural products derived from microalgae for the health and human nutrition market worldwide."
CYBE,CyberOptics Corp,"CyberOptics Corporation is a developer and manufacturer of high precision sensing technology solutions worldwide. The company's sensors are being used in general purpose metrology and 3D scanning, surface mount technology (SMT), and semiconduct"
RELV,Reliv International Inc,"Reliv' International, Inc. develops, manufactures, and markets nutritional supplements that address basic nutrition, wellness needs, weight management, and sports nutrition."
BIG,Big Lots Inc,"Big Lots, Inc., through its subsidiaries, operates as a non-traditional, discount retailer in the United States."
TBI,TrueBlue Inc,"TrueBlue, Inc. provides contingent staffing, recruitment process outsourcing, and contingent staffing management services in the United States, Canada, and Puerto Rico. It operates through three segments: PeopleReady, PeopleManagement, and Peop"
ADSK,Autodesk Inc.,"Autodesk, Inc. operates as a design software and services company worldwide. It operates through Architecture, Engineering, and Construction; Manufacturing; Platform Solutions and Emerging Business; and Media and Entertainment segments."
MIDD,Middleby Corp (The),"The Middleby Corporation designs, manufactures, markets, distributes, and services commercial foodservice, food processing, and residential kitchen equipment in the United States, Canada, Asia, Europe, the Middle East, and Latin America."
PFBX,Peoples Financial Corp/MS,"Peoples Financial Corporation operates as the bank holding company for The Peoples Bank that provides banking, financial, and trust services to government entities, individuals, and small and commercial businesses primarily in Mississippi."
KOPN,Kopin Corp,"Kopin Corporation invents, develops, manufactures, and sells wearable technologies and display products in the United States, the Asia-Pacific, and Europe."
ABM,ABM Industries Inc,"ABM Industries Incorporated provides integrated facility solutions in the United States and internationally. The company operates through five segments: Business & Industry, Aviation, Emerging Industries Group, Technical Solutions, and GCA Serv"
DSS,Document Security Systems Inc,"Document Security Systems, Inc., through its subsidiaries, develops, manufactures, markets, and sells paper and plastic products to protect information from unauthorized scanning, copying, and digital imaging worldwide."
CRUS,Cirrus Logic Inc.,"Cirrus Logic, Inc., a fabless semiconductor company, develops, manufactures, and markets analog and mixed-signal integrated circuits (ICs) for a range of consumer and industrial markets. The company offers portable and non-portable audio, and o"
MDC,M.D.C. Holdings Inc.,"M.D.C. Holdings, Inc., through its subsidiaries, engages in homebuilding and financial service businesses in the United States."
HON,Honeywell International Inc,Honeywell International Inc. operates as a diversified technology and manufacturing company worldwide. It operates through four segments: Aerospace; Home and Building Technologies; Performance Materials and Technologies; and Safety and Producti
APC,Anadarko Petroleum Corp,"Anadarko Petroleum Corporation engages in the exploration, development, production, and marketing of oil and gas properties. It operates through three segments: Oil and Gas Exploration and Production, Midstream, and Marketing."
OSK,Oshkosh Corp,"Oshkosh Corporation designs, manufactures, and markets specialty vehicles and vehicle bodies worldwide. The company's Access Equipment segment provides aerial work platforms and telehandlers for use in various construction, industrial, institut"
MNST,Monster Beverage Corp,"Monster Beverage Corporation, through its subsidiaries, develops, markets, sells, and distributes energy drink beverages, soda, and its concentrates in the United States and internationally. It operates through three segments: Monster Energy Dr"
INDB,Independent Bank Corp.,Independent Bank Corp. operates as the bank holding company for Rockland Trust Company that provides commercial banking products and services to individuals and small-to-medium sized businesses primarily in Massachusetts.
PEIX,Pacific Ethanol Inc,"Pacific Ethanol, Inc. produces and markets low-carbon renewable fuels in the United States. The company operates through two segments, Production and Marketing."
JKHY,Henry (Jack) & Associates Inc,"Jack Henry & Associates, Inc. provides technology solutions and payment processing services primarily for financial services organizations in the United States."
ARKR,Ark Restaurants Corp.,"Ark Restaurants Corp., through its subsidiaries, owns and operates restaurants and bars in the United States."
ITRI,Itron Inc,"Itron, Inc. provides metering solutions to electricity, gas, and water utility markets worldwide. The company operates through three segments: Electricity, Gas, and Water."
EMMS,Emmis Communications Corp,"Emmis Communications Corporation, a diversified media company, engages in radio broadcasting activities in the United States. The company operates in three segments: Radio, Publishing, and Corporate & Emerging Technologies. It operates 16 FM an"
WEC,WEC Energy Group Inc,"WEC Energy Group, Inc., through its subsidiaries, generates and distributes electric energy. The company operates through Wisconsin, Illinois, Other States, Electric Transmission, We Power, and Corporate and Other segments."
DJCO,Daily Journal Corp,"Daily Journal Corporation publishes newspapers and Websites covering in California, Arizona, Colorado, and Utah. It operates in two segments, Traditional Business and Journal Technologies."
CRY,CryoLife Inc.,"CryoLife, Inc., together with its subsidiaries, manufactures and distributes medical devices worldwide. It also processes and distributes implantable human tissues for use in cardiac and vascular surgeries. The company operates in two segments,"
POR,Portland General Electric Co,"Portland General Electric Company, an integrated electric utility company, engages in the generation, wholesale purchase, transmission, distribution, and retail sale of electricity in the state of Oregon. The company operates seven thermal plan"
DLHC,DLH Holdings Corp,"DLH Holdings Corp. provides healthcare and social services in the United States. It offers defense and veterans' health solutions, including case management, physical and behavioral health examinations, and medical administration and logistics"
PLXS,Plexus Corp,"Plexus Corp., together with its subsidiaries, provides electronic manufacturing services in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific."
AEPI,AEP Industries Inc,"AEP Industries Inc. manufactures and markets flexible plastic packaging films in North America. The company offers polyethylene and polyvinyl chloride flexible packaging products for consumer, industrial, and agricultural applications."
JJSF,J & J Snack Foods Corp,"J&J Snack Foods Corp. manufactures, markets, and distributes various nutritional snack foods and beverages to the food service and retail supermarket industries in the United States, Mexico, and Canada."
ACUR,Acura Pharmaceuticals Inc,"Acura Pharmaceuticals, Inc., a specialty pharmaceutical company, engages in the research, development, and commercialization of products to address medication abuse and misuse."
NAII,Natural Alternatives International Inc,"Natural Alternatives International, Inc. engages in formulating, manufacturing, and marketing nutritional supplements in the United States and internationally."
JOUT,Johnson Outdoors Inc,"Johnson Outdoors Inc. designs, manufactures, and markets outdoor equipment, diving, watercraft, and marine electronics products worldwide."
PEG,Public Service Enterprise Group Inc,"Public Service Enterprise Group Incorporated, through its subsidiaries, operates as an energy company primarily in the Northeastern and Mid- Atlantic United States."
PDEX,Pro Dex Inc,"Pro-Dex, Inc., together with its subsidiaries, designs, develops, and manufactures powered surgical instruments for medical device original equipment manufacturers, dental instruments, and rotary air motors worldwide."
MSFT,Microsoft Corp,"Microsoft Corporation develops, licenses, and supports software products, services, and devices worldwide."
SPNC,Spectranetics Corp(The),"The Spectranetics Corporation, together with its subsidiaries, develops, manufactures, markets, and distributes single-use medical devices used in minimally invasive procedures in the cardiovascular system."
INT,World Fuel Services Corp,"World Fuel Services Corporation, an energy management company, provides energy procurement advisory, supply fulfillment and transaction, and payment management solutions to commercial and industrial customers in the aviation, marine, and transp"
MGM,MGM Resorts International,"MGM Resorts International, through its wholly owned subsidiaries, owns and/or operates casino resorts in the United States and China. The company operates through two segments, Domestic Resorts and MGM China."
NC,NACCO Industries Inc.,"NACCO Industries, Inc., through its subsidiaries, primarily operates in the mining industry. The company mines coal in North Dakota, Texas, Mississippi, Louisiana, and on the Navajo Nation in New Mexico primarily for use in power generation."
CSL,Carlisle Companies Inc,Carlisle Companies Incorporated operates as a diversified manufacturing company in the worldwide.
NBTB,NBT Bancorp Inc,"NBT Bancorp Inc. operates as the bank holding company for NBT Bank, National Association that provides commercial banking and financial services to individuals, corporations, and municipalities."
RDNT,RadNet Inc,"RadNet, Inc., together with its subsidiaries, provides outpatient diagnostic imaging services in the United States."
